Scenario,Route,Accommodation,Travel Days (Round Trip),Days at Destination,Carbon Footprint (kg CO2e),Carbon per Vacation Day,Total Cost (EUR),Feasibility
1-week,Air Travel,Hotel,2.0,5.0,2307.7,461.53999999999996,1270.0,Feasible
1-week,Air Travel,Hostel,2.0,5.0,2307.7,461.53999999999996,970.0,Feasible
1-week,Air Travel,Airbnb,2.0,5.0,2307.7,461.53999999999996,1070.0,Feasible
1-week,Mixed Transport,Hotel,,0.0,420.8,,,Not feasible
1-week,Mixed Transport,Hostel,,0.0,420.8,,,Not feasible
1-week,Mixed Transport,Airbnb,,0.0,420.8,,,Not feasible
1-week,Land & Sea,Hotel,,0.0,354.5,,,Not feasible
1-week,Land & Sea,Hostel,,0.0,354.5,,,Not feasible
1-week,Land & Sea,Airbnb,,0.0,354.5,,,Not feasible
1-month,Air Travel,Hotel,2.0,28.0,2307.7,82.41785714285713,3340.0,Feasible
1-month,Air Travel,Hostel,2.0,28.0,2307.7,82.41785714285713,1660.0,Feasible
1-month,Air Travel,Airbnb,2.0,28.0,2307.7,82.41785714285713,2220.0,Feasible
1-month,Mixed Transport,Hotel,16.0,14.0,420.8,30.057142857142857,2460.0,Feasible
1-month,Mixed Transport,Hostel,16.0,14.0,420.8,30.057142857142857,1620.0,Feasible
1-month,Mixed Transport,Airbnb,16.0,14.0,420.8,30.057142857142857,1900.0,Feasible
1-month,Land & Sea,Hotel,14.0,16.0,354.5,22.15625,2590.0,Feasible
1-month,Land & Sea,Hostel,14.0,16.0,354.5,22.15625,1630.0,Feasible
1-month,Land & Sea,Airbnb,14.0,16.0,354.5,22.15625,1950.0,Feasible
